price,rating,cpu_model,generation,perform_tier,ram_storage_in_GB,ram_type,ssd_hdd,cpu_cores,threads,yrs_warranty,op_sys,brand,model_name,gaming_laptop,Gpu,ppi
41990,57.0,AMD Ryzen 5,7,Mid,16,DDR4,512,6,12,1,Windows 11 OS,HP,Others,0,AMD Radeon AMD,141.21199462911522
316050,90.0,Intel Core Ultra 9,2,High,32,DDR5,1000,24,24,1,Windows 11 OS,Others,Others,1,Other Nvidia,188.67962264113208
321170,93.0,Intel Core Ultra 9,2,High,32,DDR5,1000,24,24,1,Windows 11 OS,Others,Others,1,Other Nvidia,167.71522012545074
45990,59.0,AMD Ryzen 7,5,High,16,DDR4,512,8,16,1,Windows 11 OS,HP,Others,0,AMD Radeon AMD,141.21199462911522
33990,52.0,Intel Core i3,13,Low,8,DDR4,512,6,8,1,Windows 11 OS,Asus,Vivobook,0,Integrated Intel Graphics,141.21199462911522
72900,71.0,AMD Ryzen 7,7,Mid,16,DDR5,1000,8,16,1,Windows 11 OS,Asus,Tuf,0,4 GB NVIDIA GeForce RTX 3050,141.21199462911522
26990,53.0,Other AMD,7,Low,8,LPDDR5,512,4,8,1,Windows 11 OS,Lenovo,V15,0,Other Amd,141.21199462911522
109900,47.0,Apple M4,0,Low,16,Not_avail,512,10,0,1,Mac OS,Apple,Macbook,0,Other Gpu,224.50560202046395
65990,65.0,Ultra Core Ultra 5,2,Low,16,DDR5,512,14,14,1,Windows 11 OS,Asus,Vivobook,0,Other Intel,161.72539083525606
50990,52.0,Intel Core i5,13,Mid,16,Not_avail,512,8,12,1,Windows 11 OS,Asus,Vivobook,0,Other Intel,141.21199462911522
14870,41.0,Intel Celeron,0,unknown,8,DDR4,128,0,2,1,Windows 11 OS,Acer,Aspire,0,Intel Integrated UHD,135.0942067499465
88990,72.0,AMD Ryzen 7,7,Mid,24,DDR5,512,8,16,1,Windows 11 OS,Lenovo,Loq,1,8 GB NVIDIA GeForce RTX 4060,141.21199462911522
47390,57.0,Intel Core i5,12,Mid,16,LPDDR5,512,8,12,1,Windows 11 OS,Lenovo,Ideapad,0,Intel Integrated UHD Graphics,157.3505121487356
27490,47.0,Intel Core i3,12,Low,8,DDR4,512,6,8,1,Windows 11 OS,Dell,Others,0,Intel Graphics,111.93520355955211
83990,73.0,AMD Ryzen 7,7,Mid,16,DDR5,512,8,16,1,Windows 11 OS,Asus,Tuf,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
54990,62.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,Acer,Aspire,1,4 GB NVIDIA GeForce RTX 2050,141.21199462911522
53990,54.0,Intel Core i5,13,Low,16,DDR4,1000,10,12,1,Windows 11 OS,Dell,Others,0,Other Intel,141.21199462911522
63689,70.0,AMD Ryzen 7,7,Mid,16,DDR5,512,8,16,1,Windows 11 OS,Asus,Tuf,0,4 GB NVIDIA GeForce RTX 3050,141.21199462911522
72836,69.0,Intel Core i5,13,Mid,16,LPDDR5X,512,12,16,1,Windows 11 OS,HP,Pavilion,0,6 GB NVIDIA GeForce RTX 3050,188.67962264113208
33490,52.0,Intel Core i3,13,unknown,8,DDR4,512,5,6,1,Windows 11 OS,Dell,Inspiron,0,Intel Integrated UHD,141.21199462911522
37490,46.0,Intel Core i3,13,Low,8,LPDDR5,512,6,8,1,Windows 11 OS,Lenovo,Ideapad,0,Integrated Intel UHD Graphics,141.21199462911522
159990,80.0,AMD Ryzen 7,8,High,16,DDR5,1000,12,24,2,Windows 11 OS,Msi,Others,1,Other Nvidia,188.67962264113208
57990,54.0,Ultra Core Ultra 5,1,Low,16,LPDDR5,1000,8,10,1,Windows 11 OS,Acer,Swift,0,Other Intel,161.72539083525606
65990,61.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,HP,Victus,1,4 GB NVIDIA GeForce RTX 3050,141.21199462911522
83990,66.0,AMD Ryzen 7,7,Mid,16,DDR5,512,8,16,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
55999,60.0,Ultra Core Ultra 5,1,Low,16,DDR5,512,14,18,1,Windows 11 OS,Acer,Aspire,0,Other Intel,161.72539083525606
122990,71.0,Intel Core Ultra 9,2,High,32,LPDDR5X,1000,16,16,1,Windows 11 OS,Lenovo,Ideapad,1,Other Intel,212.2645754712736
66990,55.0,Intel Core i7,13,Mid,16,DDR4,512,10,16,1,Windows 11 OS,HP,Others,0,Intel Integrated UHD,141.21199462911522
104990,70.0,Intel Core i7,13,Mid,24,DDR5,1000,10,16,1,Windows 11 OS,HP,Victus,1,Other Nvidia,141.21199462911522
60490,65.0,AMD Ryzen 7,5,High,16,DDR4,512,8,16,1,Windows 11 OS,Lenovo,Ideapad,0,AMD Radeon,161.72539083525606
179990,86.0,Intel Core i7,14,Mid,32,DDR5,1000,16,24,1,Windows 11 OS,Asus,Tuf,0,Other Nvidia,188.67962264113208
51990,59.0,Intel Core i5,12,Mid,12,DDR5,512,8,12,1,Windows 11 OS,Lenovo,Loq,1,4 GB NVIDIA GeForce RTX 2050,141.21199462911522
54990,53.0,Ultra Core Ultra 5,1,Low,16,LPDDR5,512,8,10,1,Windows 11 OS,Acer,Swift,0,Other Intel,161.72539083525606
62990,62.0,Intel Core i7,13,Mid,16,DDR4,512,10,16,1,Windows 11 OS,Acer,Aspire,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
54990,56.0,Intel Core i5,13,Low,16,DDR4,1000,10,12,1,Windows 11 OS,HP,Others,0,Intel Integrated UHD,141.21199462911522
61990,55.0,Intel Core i7,13,Mid,16,LPDDR5,512,10,16,1,Windows 11 OS,Lenovo,Ideapad,0,Integrated Intel UHD Graphics,144.16931993322382
110490,70.0,Intel Core i7,13,Mid,24,DDR5,512,14,0,1,Windows 11 OS,Lenovo,Legion,1,8 GB NVIDIA GeForce RTX 4060,141.21199462911522
59990,62.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,Acer,Others,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
59990,70.0,AMD Ryzen 5,8,Mid,16,DDR5,512,6,12,1,Windows 11 OS,HP,Victus,1,4 GB NVIDIA GeForce RTX 2050,141.21199462911522
132990,81.0,Intel Core Ultra 9,2,High,32,LPDDR5X,1000,16,16,1,Windows 11 OS,Asus,Zenbook,0,Other Intel,242.5880862528841
41990,61.0,AMD Ryzen 5,7,Mid,8,DDR5,512,6,12,1,Windows 11 OS,HP,Others,0,AMD Radeon AMD,141.21199462911522
74000,72.0,Intel Core i7,13,Mid,16,DDR5,512,10,16,2,Windows 11 OS,Others,Others,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
33490,56.0,AMD Ryzen 5,5,Mid,16,DDR4,512,6,12,1,Windows 11 OS,Acer,15,0,AMD Graphics,141.21199462911522
62989,54.0,Ultra Core Ultra 5,1,Low,16,LPDDR5,1000,12,14,1,Windows 11 OS,HP,Pavilion,0,Other Intel,141.50971698084905
36990,53.0,AMD Ryzen 7,7,High,16,LPDDR4X,512,8,16,1,Windows 11 OS,Acer,Aspire,0,AMD Radeon Graphics,139.42450275248007
32990,59.0,Intel Core i3,12,Low,8,DDR4,512,6,8,1,Windows 11 OS,Dell,15,0,Intel Graphics,141.21199462911522
59990,66.0,Intel Core i5,12,Mid,16,DDR5,512,8,12,2,Windows 11 OS,Others,Others,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
84999,53.0,Qualcomm Snapdragon,0,unknown,16,LPDDR5X,1000,12,12,1,Windows 11 OS,Asus,Vivobook,0,Other Gpu,211.81799194367284
84490,73.0,AMD Ryzen 7,8,High,16,DDR5,512,8,16,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
99411,75.0,AMD Ryzen 7,7,High,16,DDR5,1000,8,16,1,Windows 11 OS,HP,Omen,1,6 GB NVIDIA GeForce RTX 4050,136.8265290613118
78990,68.0,Intel Core i5,13,Mid,16,DDR5,512,10,16,1,Windows 11 OS,Lenovo,Loq,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
66500,61.0,Ultra Core Ultra 5,1,Low,16,LPDDR5,512,14,18,1,Windows 11 OS,HP,Others,0,Intel Arc Graphics,215.6338544470081
99990,71.0,Intel Core i7,13,Mid,16,DDR5,512,10,16,1,Windows 11 OS,Asus,Tuf,1,8 GB NVIDIA GeForce RTX 4060,141.21199462911522
103490,77.0,AMD Ryzen 7,7,High,16,DDR5,1000,8,16,1,Windows 11 OS,HP,Omen,1,8 GB NVIDIA GeForce RTX 4060,136.8265290613118
53990,64.0,Intel Core i5,12,Mid,16,LPDDR5X,512,8,12,1,Windows 11 OS,Others,Others,1,6 GB NVIDIA GeForce RTX 3050,141.50971698084905
48990,55.0,Intel Core i5,13,Low,8,LPDDR4X,512,10,12,1,Windows 11 OS,Samsung,Galaxy,0,Intel Iris Xe Graphics,141.21199462911522
27990,55.0,Other AMD,5,Low,16,DDR4,512,4,8,1,Windows 11 OS,Acer,Aspire,0,AMD Graphics,141.21199462911522
50990,65.0,Intel Core i5,11,Mid,16,DDR6,512,6,12,1,Windows 11 OS,Asus,Tuf,1,4 GB NVIDIA GeForce RTX 2050,127.3356801868042
74990,68.0,Intel Core i5,13,Mid,16,DDR5,1000,10,16,1,Windows 11 OS,Dell,15,1,6 GB NVIDIA GeForce RTX 3050,141.21199462911522
47833,57.0,AMD Ryzen 5,5,Mid,8,DDR4,512,6,12,1,Windows 11 OS,HP,Others,1,Other Amd,141.21199462911522
149900,68.0,Intel Core i9,13,High,32,LPDDR5X,1000,14,20,1,Windows 11 OS,Others,Others,0,Intel Integrated Iris Xe,141.21199462911522
64990,71.0,Intel Core i5,12,Mid,16,DDR4,512,12,16,1,Windows 11 OS,Asus,Tuf,1,4 GB NVIDIA GeForce RTX 3050,141.21199462911522
164990,84.0,Intel Core Ultra 9,2,High,16,DDR5,1000,24,24,2,Windows 11 OS,Msi,Others,1,Other Nvidia,188.67962264113208
99990,70.0,AMD Ryzen 7,2,Mid,24,DDR5,1000,8,16,1,Windows 11 OS,HP,Victus,1,Other Nvidia,141.21199462911522
159990,72.0,Intel Core i7,14,Mid,16,Not_avail,1000,16,24,2,Windows 11 OS,Msi,Katana,1,Other Nvidia,188.28265950548695
365999,98.0,Intel Core Ultra 9,2,High,64,DDR5,1000,24,24,1,Windows 11 OS,HP,Omen,1,Other Nvidia,188.67962264113208
35990,46.0,Intel Core i3,13,unknown,16,Not_avail,512,5,6,1,Windows 11 OS,Dell,15,0,Other Intel,141.21199462911522
66990,62.0,AMD Ryzen 7,7,Mid,16,DDR5,512,8,16,1,Windows 11 OS,HP,Victus,1,Other Nvidia,141.21199462911522
69990,65.0,Intel Core i5,13,Mid,24,DDR5,512,10,16,1,Windows 11 OS,Lenovo,Loq,1,Other Nvidia,141.21199462911522
40990,62.0,AMD Ryzen 7,7,High,16,DDR4,512,8,16,1,Windows 11 OS,Acer,Aspire,0,AMD Graphics,141.21199462911522
74990,56.0,Ultra Core Ultra 5,1,Low,16,LPDDR5X,512,14,18,1,Windows 11 OS,Lenovo,Yoga,0,Other Intel,161.72539083525606
479960,93.0,Intel Core Ultra 9,2,High,64,DDR5,2000,24,24,1,Windows 11 OS,Others,Others,1,Other Nvidia,188.67962264113208
76999,61.0,Ultra Core Ultra 7,1,Mid,16,DDR5,512,16,22,1,Windows 11 OS,HP,Others,0,Other Intel,157.3505121487356
70990,52.0,Qualcomm Snapdragon,0,unknown,16,LPDDR5X,1000,8,0,1,Windows 11 OS,HP,Omnibook,0,Other Gpu,161.72539083525606
184990,87.0,Intel Core Ultra 9,2,High,16,DDR5,1000,24,24,1,Windows 11 OS,Asus,Rog,1,Other Nvidia,188.67962264113208
139990,79.0,Intel Core i7,14,Mid,16,DDR5,1000,16,24,1,Windows 11 OS,Asus,Tuf,0,Other Nvidia,141.50971698084905
59990,64.0,AMD Ryzen 5,7,Low,24,DDR5,512,4,8,1,Windows 11 OS,Lenovo,Loq,1,Other Nvidia,141.21199462911522
38990,55.0,AMD Ryzen 5,5,Mid,16,DDR4,512,6,12,1,Windows 11 OS,Lenovo,Ideapad,0,Intel UHD Graphics,143.98085899477965
51990,68.0,AMD Ryzen 5,5,Mid,8,DDR4,512,6,12,1,Windows 11 OS,HP,Victus,1,Other Amd,141.21199462911522
147688,70.0,AMD Ryzen AI,3,Mid,16,DDR5,1000,8,16,1,Windows 11 OS,HP,Omen,1,Other Nvidia,141.50971698084905
63989,62.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,Asus,Vivobook,0,4 GB NVIDIA GeForce RTX 3050,141.50971698084905
51990,57.0,Intel Core i5,13,Low,16,DDR4,512,10,12,1,Windows 11 OS,HP,Others,0,Intel Integrated UHD,141.21199462911522
59990,57.0,Ultra Core Ultra 5,1,Low,16,DDR5,512,14,18,1,Windows 11 OS,HP,Others,0,Other Intel,141.21199462911522
36490,54.0,Intel Core i3,13,Low,12,DDR4,512,6,8,1,Windows 11 OS,HP,Others,0,Intel Integrated UHD,141.21199462911522
519990,97.0,Intel Core i9,14,High,64,DDR5,4000,24,32,2,Windows 11 OS,Msi,Others,1,Other Nvidia,251.57283018817608
64990,53.0,Intel Core i5,13,Low,16,LPDDR5X,512,10,12,1,Windows 11 OS,HP,Omnibook,0,Intel Iris Xe Graphics,141.50971698084905
55990,60.0,Intel Core i5,13,Mid,16,DDR5,512,8,12,1,Windows 11 OS,Asus,Vivobook,0,Intel Integrated UHD,161.72539083525606
55990,62.0,Intel Core i5,13,Mid,32,DDR5,512,8,12,1,Windows 11 OS,Asus,Expertbook,0,Intel Integrated UHD,157.3505121487356
32990,57.0,Intel Core i3,13,Low,8,DDR5,512,6,8,1,Windows 11 OS,Asus,Expertbook,0,Intel Integrated UHD,157.3505121487356
66990,60.0,Intel Core i7,2,Mid,16,DDR5,1000,10,16,1,Windows 11 OS,Others,Others,0,Intel Integrated,245.66444677275396
81490,68.0,Intel Core i5,13,Mid,24,DDR5,512,10,16,1,Windows 11 OS,Lenovo,Loq,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
53989,57.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,Asus,Vivobook,0,Other Intel,141.50971698084905
76490,65.0,Intel Core i5,13,Mid,16,DDR4,512,8,12,1,Windows 11 OS,HP,Victus,1,6 GB NVIDIA GeForce RTX 4050,141.21199462911522
22343,30.0,Other AMD,7,Low,256,Not_avail,0,0,0,0,Other OS,HP,Others,0,Other Gpu,0.0
113990,71.0,Intel Core i7,13,Mid,16,DDR5,1000,14,0,1,Windows 11 OS,Asus,Rog,1,6 GB NVIDIA GeForce RTX 4050,141.50971698084905
